Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
229,Ohio State,35,24,11,0.686,19.68,7.37,11,7,18,2,4,6,2635,75.28571429,2204,62.97142857,1410,964,1995,0.483,236,637,0.37,471,693,0.68,387,1241,534,266,178,396,563
230,Ohio,30,10,20,0.333,-4.15,0.45,5,13,8,7,1,11,2028,67.6,2166,72.2,1205,727,1678,0.433,217,637,0.341,357,486,0.735,268,1023,341,154,128,382,512
231,Oklahoma State,32,18,14,0.563,12.95,9.63,8,10,12,4,3,8,2160,67.5,2011,62.84375,1290,733,1667,0.44,226,647,0.349,468,645,0.726,287,1039,366,253,156,392,614
232,Oklahoma,35,24,11,0.686,18.65,9.94,12,6,14,1,5,6,2501,71.45714286,2196,62.74285714,1410,885,2035,0.435,236,688,0.343,495,668,0.741,389,1332,430,237,174,419,570
233,Old Dominion,35,27,8,0.771,7.68,-0.15,13,5,20,0,5,5,2273,64.94285714,1999,57.11428571,1410,836,1935,0.432,207,636,0.325,394,592,0.666,438,1267,472,221,115,377,618
234,Oral Roberts,34,19,15,0.559,-3.83,-1.99,10,6,12,2,5,11,2377,69.91176471,2343,68.91176471,1370,798,1859,0.429,205,575,0.357,576,801,0.719,363,1157,376,197,131,396,632
235,Oregon State,31,17,14,0.548,5.93,4.97,8,10,15,2,2,9,1887,60.87096774,1834,59.16129032,1245,665,1577,0.422,160,495,0.323,397,573,0.693,293,973,373,241,123,365,590
236,Oregon,36,26,10,0.722,11.43,7.65,13,5,17,2,6,4,2713,75.36111111,2550,70.83333333,1460,992,2143,0.463,263,726,0.362,466,613,0.76,372,1298,508,207,157,421,655
237,Pacific,31,12,19,0.387,-3.19,3.31,4,14,6,8,5,8,1996,64.38709677,2115,68.22580645,1255,681,1633,0.417,202,584,0.346,432,667,0.648,385,1076,363,125,74,391,667
238,Penn State,34,18,16,0.529,7.77,7.1,4,14,10,6,3,8,2273,66.85294118,2250,66.17647059,1380,795,1893,0.42,227,679,0.334,456,656,0.695,354,1201,336,206,138,414,692
239,Pennsylvania,28,9,19,0.321,-8.32,-1.36,4,10,4,9,5,10,1687,60.25,1882,67.21428571,1125,599,1379,0.434,155,448,0.346,334,495,0.675,258,886,329,153,67,419,557
240,Pepperdine,32,18,14,0.563,3.86,2.8,10,8,10,5,7,7,2020,63.125,1972,61.625,1280,704,1666,0.423,145,463,0.313,467,630,0.741,300,1062,425,200,108,395,562
241,Pittsburgh,34,19,15,0.559,8.45,7.36,8,10,14,4,2,8,2279,67.02941176,2230,65.58823529,1375,835,1866,0.447,164,484,0.339,445,650,0.685,407,1136,561,168,95,336,606
242,Portland State,29,15,14,0.517,-7.75,-4.86,9,9,9,4,6,9,2083,71.82758621,2098,72.34482759,1165,723,1645,0.44,193,507,0.381,444,598,0.742,283,942,381,183,117,324,511
243,Portland,33,17,16,0.515,3.06,2.67,7,11,9,7,5,7,2315,70.15151515,2253,68.27272727,1340,810,1825,0.444,216,574,0.376,479,668,0.717,389,1173,486,192,148,402,610
244,Prairie View,33,15,18,0.455,-10.86,-8.2,12,6,7,3,7,12,2211,67,2280,69.09090909,1320,822,1923,0.427,177,532,0.333,390,604,0.646,388,1072,354,287,105,471,716
245,Presbyterian,32,10,22,0.313,-16.26,-4.51,6,12,7,8,3,11,1978,61.8125,2214,69.1875,1280,741,1656,0.447,136,425,0.32,360,546,0.659,296,1029,341,166,90,415,507
246,Princeton,31,16,14,0.533,-1.34,-2.92,9,5,11,3,4,9,2066,66.64516129,1972,63.61290323,1200,673,1455,0.463,252,668,0.377,468,658,0.711,189,913,391,165,90,366,562
247,Providence,34,22,12,0.647,13.71,9.5,11,7,13,4,5,6,2370,69.70588235,2227,65.5,1370,828,1889,0.438,171,546,0.313,543,768,0.707,411,1228,474,242,155,407,628
248,Purdue,34,21,13,0.618,12.93,7.64,12,6,14,3,4,6,2375,69.85294118,2195,64.55882353,1375,827,1840,0.449,195,597,0.327,524,767,0.683,409,1249,505,185,177,444,642
249,Quinnipiac,30,15,15,0.5,-1.46,-3.66,9,11,10,7,5,7,2092,69.73333333,2026,67.53333333,1230,715,1813,0.394,165,537,0.307,497,643,0.773,491,1361,416,107,173,416,570
250,Radford,34,22,12,0.647,-3.89,-5.53,12,6,12,3,8,8,2476,72.82352941,2301,67.67647059,1380,892,1946,0.458,212,634,0.334,480,695,0.691,411,1240,450,242,150,408,611
251,Rhode Island,33,23,10,0.697,9.31,2.87,13,5,14,2,7,5,2232,67.63636364,1986,60.18181818,1325,777,1732,0.449,146,482,0.303,532,812,0.655,362,1183,430,215,184,453,694
252,Rice,32,12,20,0.375,-2.86,-0.79,8,10,7,7,4,10,2052,64.125,2107,65.84375,1315,679,1615,0.42,289,797,0.363,405,548,0.739,276,1019,405,190,70,459,606
253,Richmond,35,21,14,0.6,8.65,3.77,12,6,16,4,4,9,2313,66.08571429,2142,61.2,1430,834,1821,0.458,231,680,0.34,414,600,0.69,240,1025,469,242,116,346,595
254,Rider,33,21,12,0.636,-1.6,-3.11,15,5,10,3,11,5,2153,65.24242424,2103,63.72727273,1335,784,1790,0.438,200,599,0.334,385,638,0.603,357,1131,400,234,87,413,591
255,Robert Morris,35,20,15,0.571,-3.02,-3.5,12,6,10,6,8,8,2414,68.97142857,2397,68.48571429,1410,854,1926,0.443,221,590,0.375,485,684,0.709,367,1162,428,300,100,467,650
256,Rutgers,32,10,22,0.313,0.23,8.11,2,16,6,10,2,10,1898,59.3125,2150,67.1875,1280,687,1751,0.392,152,515,0.295,372,570,0.653,359,1118,343,178,118,417,530
257,Sacramento State,33,21,12,0.636,-4.62,-5.45,13,5,13,2,7,9,2342,70.96969697,2250,68.18181818,1320,841,1729,0.486,208,510,0.408,452,614,0.736,276,974,466,231,78,355,563
258,Sacred Heart,32,15,17,0.469,-7.36,-5.97,9,9,10,5,4,12,2360,73.75,2367,73.96875,1315,874,1911,0.457,169,529,0.319,443,685,0.647,401,1225,469,210,110,439,588
259,Saint Francis (PA),32,16,16,0.5,-5.68,-4.97,9,9,10,3,6,13,2061,64.40625,2050,64.0625,1290,724,1653,0.438,226,677,0.334,387,576,0.672,267,998,376,209,83,398,507
260,Saint Joseph's,31,13,18,0.419,-0.23,2.58,7,11,10,5,3,11,1912,61.67741935,1999,64.48387097,1260,688,1704,0.404,167,559,0.299,369,600,0.615,352,1099,394,205,135,387,523
261,Saint Louis,32,11,21,0.344,-5.38,2.43,3,15,9,9,1,10,1912,59.75,2122,66.3125,1290,652,1587,0.411,172,528,0.326,436,666,0.655,290,979,391,170,72,443,630
262,Saint Mary's (CA),31,21,10,0.677,8.68,3.78,13,5,14,5,7,4,2141,69.06451613,1984,64,1260,752,1645,0.457,225,603,0.373,412,576,0.715,328,1115,466,157,70,375,541
263,Saint Peter's,34,16,18,0.471,-2.95,-3.92,8,12,7,6,7,10,2081,61.20588235,2048,60.23529412,1380,698,1695,0.412,193,563,0.343,492,745,0.66,353,1109,344,213,101,413,654
264,Sam Houston State,35,26,9,0.743,2.97,-6.03,15,3,16,2,8,5,2592,74.05714286,2101,60.02857143,1415,846,1973,0.429,266,808,0.329,634,898,0.706,463,1409,516,229,154,455,712
265,Samford,32,13,19,0.406,-9.41,-5.57,6,12,8,6,4,11,2216,69.25,2301,71.90625,1285,780,1756,0.444,204,588,0.347,452,661,0.684,326,1015,423,235,96,414,657
266,San Diego State,36,27,9,0.75,11.81,4.24,14,4,16,1,6,5,2226,61.83333333,1939,53.86111111,1455,800,1916,0.418,189,591,0.32,437,694,0.63,439,1270,377,247,179,410,506
267,San Diego,31,15,16,0.484,5.03,3.47,8,10,9,4,4,8,2006,64.70967742,1949,62.87096774,1250,690,1636,0.422,192,562,0.342,434,632,0.687,321,1016,388,199,119,365,618
268,San Francisco,32,14,18,0.438,3.08,2.83,7,11,8,8,4,8,2215,69.21875,2167,67.71875,1290,783,1735,0.451,203,596,0.341,446,709,0.629,340,1113,443,186,79,376,647
269,San Jose State,30,2,28,0.067,-16.22,1.92,0,18,2,13,0,12,1612,53.73333333,2086,69.53333333,1205,553,1559,0.355,196,668,0.293,310,475,0.653,272,939,294,145,78,426,548
270,Santa Clara,32,14,18,0.438,-0.38,4.12,7,11,9,6,3,9,2027,63.34375,2136,66.75,1285,711,1675,0.424,222,636,0.349,383,520,0.737,296,956,379,180,59,339,599
271,Savannah State,31,9,22,0.29,-18.17,-6.27,5,11,7,5,2,16,1758,56.70967742,2072,66.83870968,1205,633,1549,0.409,102,400,0.255,315,548,0.575,328,907,277,263,71,513,588
272,Seattle,34,18,16,0.529,-5.85,-4.69,7,7,13,5,2,10,2123,62.44117647,2095,61.61764706,1365,740,1674,0.442,236,609,0.388,407,612,0.665,324,1149,471,185,50,466,572
273,Seton Hall,31,16,15,0.516,7.95,7.56,6,12,10,5,3,9,2119,68.35483871,2107,67.96774194,1250,735,1745,0.421,213,609,0.35,436,664,0.657,391,1123,384,185,127,385,595
274,Siena,31,11,20,0.355,-6.93,-2.9,7,13,6,9,5,10,2164,69.80645161,2289,73.83870968,1245,748,1736,0.431,152,458,0.332,516,727,0.71,395,1023,411,233,111,389,649
275,South Alabama,33,12,21,0.364,-9.46,-3.04,9,11,7,8,4,12,2275,68.93939394,2438,73.87878788,1335,762,1813,0.42,214,640,0.334,537,764,0.703,360,1175,353,157,121,474,586
276,South Carolina State,33,11,22,0.333,-17.37,-7.46,7,9,6,5,4,14,1965,59.54545455,2203,66.75757576,1325,706,1846,0.382,184,608,0.303,369,612,0.603,394,1142,360,200,101,412,579
