Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,Opponent Pace,Opponent ORtg,Opponent FTr,Opponent 3PAr,Opponent TS%,Opponent TRB%,Opponent AST%,Opponent STL%,Opponent BLK%,Oppone t eFG%,Opponent TOV%,Opponent ORB%,Opponent Advanced FT/FGA
18,Army,30,15,15,0.5,-6.5,-4.98,6,12,7,7,7,8,2164,2163,69,103.2,0.4,0.286,0.54,50.7,54.8,9.8,10,0.509,16.8,31.1,0.266
19,Auburn,35,15,20,0.429,3.27,8.15,4,14,9,8,2,10,2378,2523,67.9,105.1,0.412,0.326,0.558,54,50.8,9.8,13.3,0.523,18.5,33.8,0.288
20,Austin Peay,30,8,22,0.267,-12.45,-2.81,3,13,6,7,1,14,1937,2178,68.2,106.4,0.372,0.365,0.575,49.7,55,11.7,8.1,0.542,18.3,28.8,0.27
21,Ball State,30,7,23,0.233,-5.06,0.04,2,16,6,9,1,14,1961,2070,64,105.5,0.41,0.329,0.554,49.8,52.1,11.3,11,0.519,16.2,28.7,0.285
22,Baylor NCAA,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,2048,62.8,95.2,0.318,0.356,0.485,44.1,69.4,10.4,10.9,0.455,16.3,31,0.205
23,Belmont NCAA,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,67.5,104.5,0.285,0.366,0.543,49.7,50.7,9.7,12.5,0.515,16.3,29.6,0.203
24,Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,7,9,6,8,4,11,1899,2003,61.3,102,0.455,0.339,0.528,48.9,53.2,10.4,10,0.482,17.4,32.9,0.32
25,Binghamton,32,6,26,0.188,-13.45,-3.49,5,11,5,9,1,15,1845,2124,63.4,104.4,0.348,0.384,0.547,53.1,55.6,9.7,7,0.519,17.8,31.7,0.238
26,Boise State NCAA,34,25,9,0.735,10.01,1.38,14,4,13,1,8,5,2390,2045,62.4,94.6,0.318,0.36,0.506,47.9,49.2,7.5,9.9,0.472,17.6,25.4,0.222
27,Boston College,32,13,19,0.406,6.32,7.94,4,14,9,8,2,7,2105,2157,63.9,104,0.41,0.315,0.537,52,53.5,8.2,10.3,0.494,16.3,30.8,0.295
28,Boston University,30,13,17,0.433,-5.63,-3.12,9,9,8,6,5,10,2037,2087,63.7,108.3,0.33,0.404,0.557,49.3,62.2,8.3,9.2,0.526,14.7,27.9,0.235
29,Bowling Green State,33,21,12,0.636,2.93,-1.25,11,7,11,6,10,5,2196,2076,63.8,98.2,0.325,0.376,0.51,49,48.8,9.7,9.8,0.475,16.8,29.6,0.227
30,Bradley,33,9,24,0.273,-4.3,1.52,3,15,7,9,1,10,1882,2026,61.1,98.9,0.45,0.378,0.535,49.5,59.8,9.9,10.5,0.496,19.4,29,0.309
31,Brigham Young NCAA,35,25,10,0.714,13.53,5.02,13,5,13,3,8,3,2931,2561,70.7,102,0.386,0.325,0.527,46.8,55.1,9.2,9.4,0.489,15.8,28.5,0.27
32,Brown,31,13,18,0.419,-7.23,-1.99,4,10,9,6,3,11,2048,2144,67.6,101.9,0.36,0.308,0.51,48.9,50,11.8,12.6,0.474,14.2,30,0.246
33,Bryant,31,16,15,0.516,-6.28,-4.93,12,6,9,5,7,10,2058,2100,63.8,105,0.359,0.356,0.524,51,52.5,10.1,10.8,0.483,14.3,32,0.261
34,Bucknell,34,19,15,0.559,-3.66,-2.75,13,5,12,4,6,11,2339,2346,64.1,106.1,0.378,0.298,0.54,48.4,47.3,7.8,12.1,0.497,12.8,25.7,0.28
35,Buffalo NCAA,33,23,10,0.697,7.93,1.6,12,6,11,2,9,7,2462,2253,68.7,99.3,0.343,0.379,0.515,48,49.3,9,8.1,0.485,17,30.4,0.228
36,Butler NCAA,34,23,11,0.676,16.64,8.62,12,6,13,3,7,4,2346,2073,64.2,93.5,0.333,0.342,0.501,45.8,50.5,8.3,11.3,0.467,17.2,25.3,0.227
37,Cal Poly,29,13,16,0.448,-0.57,0.43,6,10,7,4,5,10,1752,1721,59.3,99.3,0.308,0.328,0.515,49,56.8,6.6,9.3,0.484,15.5,27.7,0.212
38,Cal State Bakersfield,33,14,19,0.424,-6.4,-5.8,7,7,9,5,3,10,2100,2028,61.2,98.6,0.469,0.385,0.528,46.2,54.1,8.4,10.3,0.482,17.3,26.1,0.327
39,Cal State Fullerton,31,9,22,0.29,-8.58,-1.06,1,15,6,9,1,13,1991,2155,65.6,104.7,0.391,0.33,0.542,49.3,55,8.8,10.2,0.505,14.8,26.4,0.275
40,Cal State Northridge,33,9,24,0.273,-6.61,0.39,4,12,7,9,1,14,2148,2325,65.9,106.1,0.355,0.387,0.537,49.6,55.9,10.9,6.5,0.503,14.4,29.9,0.249
41,UC-Davis,32,25,7,0.781,2.19,-2.58,14,2,14,0,10,6,2263,2068,62.9,101.5,0.326,0.348,0.509,50.6,54.1,10.7,7.8,0.474,15.8,33.8,0.227
42,UC-Irvine NCAA,34,21,13,0.618,3.63,0.45,11,5,10,3,6,9,2295,2113,63.7,96.8,0.346,0.289,0.483,48.8,49.3,8.9,7.4,0.442,14.9,30.5,0.24
43,UC-Riverside,31,14,17,0.452,-4.65,-1.16,7,9,12,3,2,13,2025,2050,65.2,100.2,0.415,0.299,0.526,48.8,52.4,9.4,10.4,0.482,16.5,28.1,0.296
44,UC-Santa Barbara,33,19,14,0.576,3.47,0.98,11,5,12,2,4,10,2258,2112,62.7,100.1,0.384,0.337,0.517,49.1,55.7,7.4,5.5,0.471,16,29.8,0.281
45,University of California,33,18,15,0.545,5.36,6.15,7,11,11,7,5,6,2195,2221,66.3,100.8,0.389,0.252,0.51,49.4,45.3,7.6,9,0.468,12.7,25.1,0.271
46,Campbell,32,10,22,0.313,-11.13,-5.3,4,14,9,6,1,15,2045,2124,63.3,104.5,0.403,0.317,0.552,51.6,50.5,10,8.4,0.511,17,29.7,0.291
47,Canisius,33,18,15,0.545,-0.04,-2.79,11,9,10,5,8,8,2168,2077,64.2,97.2,0.407,0.37,0.511,49.6,60.2,9.4,9.6,0.469,18.5,32.3,0.281
48,Central Arkansas,29,2,27,0.069,-22.84,-5.94,2,16,2,11,0,16,1894,2384,71.3,115.3,0.425,0.288,0.58,54.2,52.9,13.2,11,0.55,15.6,36.7,0.294
49,Central Connecticut State,31,5,26,0.161,-16.56,-5.62,3,15,4,9,1,13,1834,2173,64,109.1,0.239,0.353,0.538,51.1,53.2,10.2,9.3,0.514,13.5,32.8,0.17
50,Central Florida,30,12,18,0.4,-5.73,0.78,5,13,10,8,2,9,1981,2153,64,109.5,0.273,0.305,0.527,52.5,54.9,10.3,11.4,0.51,13.2,36.5,0.169
51,Central Michigan,32,23,9,0.719,5.56,-1.1,12,6,16,1,6,7,2504,2187,66.6,102.2,0.347,0.365,0.536,50,46.3,7.5,9.2,0.508,17.4,30.1,0.232
52,Charleston Southern,31,19,12,0.613,-4.48,-5.23,13,5,13,2,6,9,2277,2130,66.5,101.8,0.336,0.403,0.542,47.7,51.2,8,12,0.509,17.3,27.3,0.238
